"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"INE040A08AF2","HDFC BANK LIMITED SR US006 7.75 NCD 13JU33 FVRS1LAC","100.2015","100.2015","7.7000","7.7000","10.00","1"
"INE658F08565","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VII STRPP C 9.30 BD 21JN32 FVRS1LAC","100.4058","100.4058","9.5182","9.5200","10.00","1"
"INE121A07SE7","CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED SR 644 8.64% NCD 26JU29 FVRS1LAC","101.6933","101.6933","7.9900","7.9900","10.00","1"
"INE0M2307362","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV A 9.15 BD 18DC26 FVRS75000","100.1726","100.1577","9.0313","8.9600","7.58","2"
"INE2T2Q07089","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP B 8.70 BD 14MR31 FVRS1LAC","100.0000","100.0000","8.9821","8.9821","7.15","1"
"INE2T2Q07014","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP G 8.70 BD 14MR36 FVRS1LAC","100.0000","100.0000","8.9810","8.9810","7.10","2"
"INE0NES07147","KEERTANA FINSERV LIMITED 11.40 NCD 26MY27 FVRS50000","100.0239","100.0239","13.5326","13.5000","6.87","1"
"INE516Y07444","PIRAMAL FINANCE LIMITED 6.75 LOA 26SP31 FVRS775","93.9529","93.9592","9.3024","9.3000","6.37","3"
"INE00DJ07052","TAPIR CONSTRUCTIONS LIMITED SR I TR I 12.50 NCD 12MR30 FVRS1LAC","100.2269","100.4500","13.1533","13.0696","6.05","2"
"INE04UP07170","BEST CAPITAL SERVICES LIMITED 12.50 NCD 30MR29 FVRS10000","100.0151","100.1081","14.7672","13.1500","5.80","3"
"INE342T07544","NAVI FINSERV LIMITED 10.75 NCD 31DC27 FVRS10000","99.9352","99.9976","11.4072","11.2946","5.29","2"
"INE674K08018","ADITYA BIRLA CAPITAL LIMITED SR SB1 8.03 NCD 04MY35 FVRS1LAC","99.6932","99.8524","8.0794","8.0500","5.10","3"
"INE557F08FR8","NATIONAL HOUSING BANK 7.22 BD 23JL26 FVRS1LAC","100.0982","100.0982","6.8750","6.8500","5.00","1"
"INE101Q07BY9","MUTHOOT MCRED LIMITED SR I 9.25 NCD 25FB28 FVRS10000","97.3895","97.3895","11.3444","11.3700","5.00","1"
"INE414G07JD4","MUTHOOT FINANCE LIMITED SR 33 A OP I TR II 8.95 NCD 03MY27 FVRS1LAC","100.8136","100.8136","8.1000","8.1000","5.00","1"
"INE423A07534","ADANI ENTERPRISES LIMITED SR IV 8.75 NCD 12JN29 FVRS1000","100.5000","100.5000","8.5003","8.5000","5.00","1"
"INE1C3207081","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 B 9.35 NCD 29DC28 FVRS1LAC","101.4556","101.4556","8.9200","8.9200","5.00","1"
"INE115A07RH4","LIC HOUSING FINANCE LTD TR 456 6.90 NCD 17SP27 FVRS1LAC","99.2724","99.2724","7.4200","7.4200","5.00","1"
"INE296A07TL0","BAJAJ FINANCE LIMITED NCD 7.38 28JU30 FVRS1LAC","98.5812","98.5812","7.7700","7.7700","5.00","1"
"INE0JZO07040","LUCINA LAND DEVELOPMENT LIMITED SR II TR II 13 NCD 30JN29 FVRS1LAC","100.5244","100.0000","13.4661","13.7986","4.50","3"
"INE0TLC07101","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP F 9.30 BD 07MY32 FVRS1LAC","102.9426","102.7263","8.9138","8.9700","4.05","5"
"INE530B08235","IIFL FINANCE LIMITED SR 35 OP A-II 9.30 NCD 30DC35 FVRS1LAC","100.0792","100.0792","9.2673","9.2673","4.00","1"
"INE2T2Q07170","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP F 8.70 BD 15MR35 FVRS1LAC","100.0577","100.0000","8.9714","8.9816","3.85","2"
"INE2T2Q07113","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP D 8.70 BD 15MR33 FVRS1LAC","100.0000","100.0000","8.9802","8.9802","3.40","1"
"INE2T2Q07121","HYDERABAD METROPOLITAN DEVELOPMENT AUTHORITY STRPP E 8.70 BD 15MR34 FVRS1LAC","100.0000","100.0000","8.9810","8.9809","3.20","3"
"INE859C07204","IKF FINANCE LIMITED 9.9 NCD 15MR27 FVRS1LAC","100.0015","100.0015","10.1500","10.1500","2.18","1"
"INE559N07058","SRG HOUSING FINANCE LIMITED 11.52 NCD 01MR31 FVRS1LAC","88.9237","88.9237","11.5160","11.5160","2.07","1"
"INE07HK07841","KRAZYBEE SERVICES LIMITED 10.45 NCD 16MR27 FVRS1LAC","99.9009","99.9009","11.0290","11.0000","1.99","1"
"INE248U07EW8","360 ONE PRIME LIMITED SR VI TR I 9.61 NCD 18JN27 FVRS1000","100.4423","100.4423","8.7500","8.7500","1.62","1"
"INE016P07211","VISTAAR FINANCIAL SERVICES PRIVATE LIMITED 9.65 NCD 19AP27 FVRS1LAC","33.4405","33.4405","9.4141","9.4141","1.47","1"
"INE157D07EJ4","CLIX CAPITAL SERVICES PRIVATE LIMITED 10.20 NCD 18MR27 FVRS1LAC","100.1214","100.1214","10.0000","10.0000","1.23","1"
"INE0TLC07051","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP E 9.3 BD 09MY31 FVRS1LAC","102.7622","102.7577","8.8500","8.8500","1.10","2"
"INE0O7U07046","UNIGOLD FINANCE LIMITED 11 NCD 02AP28 FVRS10000","99.3836","99.3800","15.8935","16.5000","1.10","2"
"INE860H07IS6","ADITYA BIRLA CAPITAL LIMITED SR VI 8.10 LOA 09OT33 FVRS1000","101.2500","101.2500","7.8500","7.8500","1.00","1"
"INE658F08557","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VII STRPP G 9.30 BD 21JN36 FVRS1LAC","103.6700","103.6700","9.0675","9.0100","1.00","1"
"INE918K07PV5","NUVAMA WEALTH FINANCE LIMITED SR NWFL200824/04 9.52 NCD 24FB27 FVRS1LAC","100.5900","100.5900","8.9500","8.9500","0.98","1"
"INE0NES07287","KEERTANA FINSERV LIMITED 11.4 NCD 24OT27 FVRS10000","97.9800","97.9800","15.9549","16.5000","0.96","2"
"INE01YL07417","EARLYSALARY SERVICES PRIVATE LIMITED 10.50 NCD 09MR28 FVRS1LAC","98.8416","98.8416","11.6651","11.7931","0.95","1"
"INE0TLC07028","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP G 9.30 BD 09MY33 FVRS1LAC","103.5132","103.6380","8.8762","8.8500","0.90","3"
"INE572J07786","SPANDANA SPHOORTY FINANCIAL LIMITED SR A 11.50 NCD 30JU28 FVRS1LAC","100.8819","100.8800","16.1136","16.5000","0.88","2"
"INE109C07105","ARMAN FINANCIAL SERVICES LIMITED 11.4 NCD 05JU28 FVRS75001","99.9598","99.9598","12.3388","12.3388","0.83","1"
"INE08KJ07183","MUFIN GREEN FINANCE LIMITED 10 NCD 11MY27 FVRS10000","99.3000","99.3000","14.2650","16.5000","0.75","1"
"INE658F08334","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR IV STRPPS E 9.42 BD 30DC32 FVRS1LAC","100.6613","100.6613","9.6000","9.6000","0.72","1"
"INE752E08734","POWER GRID CORPORATION OF INDIA LIMITED SR LXXVI 7.35 BD 12MR34 FVRS1LAC","99.9600","99.9600","7.3465","7.3465","0.70","1"
"INE918K07QN0","NUVAMA WEALTH FINANCE LIMITED SR W8N601A BR 21AG29 FVRS1LAC","101.9377","101.9377","11.7570","11.7500","0.70","4"
"INE104W07245","KANAKADURGA FINANCE LTD 11.60 NCD 27JN28 FVRS10000","98.6200","98.6200","16.1988","16.5000","0.69","2"
"INE0TLC07069","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP C 9.30 BD 08MY29 FVRS1LAC","101.7423","101.6970","8.9724","8.8500","0.65","3"
"INE1C3207073","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 C 9.35 NCD 31DC29 FVRS1LAC","102.0640","102.1928","9.5082","8.8500","0.60","2"
"INE906B07IH3","NATIONAL HIGHWAYS AUTHORITY OF INDIA SR VIII 7.03 BD 15DC40 FVRS10LAC","95.4600","95.4600","7.5405","7.5405","0.50","1"
"INE658F08508","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VII STRPP A 9.30 BD 21JN30 FVRS1LAC","100.6801","100.6747","9.3467","9.3700","0.50","2"
"INE916Y07073","AKME FINTRADE (INDIA) LIMITED 11.50 NCD 19JN29 FVRS10000","98.1000","98.1000","14.4755","16.5000","0.50","1"
"INE906B07EJ8","NATIONAL HIGHWAYS AUTHORITY OF INDIA SR IIB 7.6 BD 11JN31 FVRS1000","108.4463","108.4463","5.2800","5.2800","0.50","1"
"INE053F07900","INDIAN RAILWAY FINANCE CORPORATION LIMITED SR-108 A 7.64 BD 22MR31 FVRS1000 LOAUPTO17M16","108.7222","108.7222","5.2800","5.2800","0.50","1"
"INE658F08540","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VII STRPP F 9.30 BD 21JN35 FVRS1LAC","101.1657","102.0847","9.3978","9.2414","0.50","2"
"INE906B07EP5","NATIONAL HIGHWAYS AUTHORITY OF INDIA SR IIB 7.69 BD 09MR31 FVRS1000","108.8304","108.8304","5.2800","5.2800","0.44","1"
"INE04UP07162","BEST CAPITAL SERVICES LIMITED 12.50 NCD 18MR29 FVRS10000","100.3900","100.3900","14.9756","16.5000","0.40","1"
"INE146O08308","HINDUJA LEYLAND FINANCE LIMITED 9.3 NCD 06FB35 FVRS1LAC","99.2500","99.2500","9.4112","9.4112","0.40","1"
"INE0M2307339","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV E 9.15 BD 29NV30 FVRS1LAC","100.0000","100.0000","9.1714","9.4597","0.35","2"
"INE03K307108","SATIN FINSERV LIMITED 10.75 NCD 06FB28 FVRS10000","98.3500","98.3500","14.0280","16.5000","0.35","1"
"INE04VS07370","OXYZO FINANCIAL SERVICES LIMITED 9.75 NCD 19MR27 FVRS1LAC","99.5476","99.5476","10.2000","10.2000","0.34","1"
"INE0M2307388","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV F 9.15 BD 28NV31 FVRS1LAC","101.1818","101.5991","9.1566","9.0500","0.30","2"
"INE420C07189","PAISALO DIGITAL LIMITED SR PDL032026 9.25 NCD 18SP28 FVRS10000","97.9500","97.9500","11.3366","16.5000","0.30","1"
"INE733E07JF7","NTPC LIMITED SR-2A 8.48 BD 16DC28 FVRS1000","107.2960","107.2960","5.4200","5.4200","0.28","1"
"INE08XP07431","AKARA CAPITAL ADVISORS PRIVATE LIMITED 12 NCD 11JU27 FVRS10000","97.2300","97.2300","16.5000","16.5000","0.28","1"
"INE0TLC07093","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP B 9.30 BD 09MY28 FVRS1LAC","101.1086","101.1049","8.8250","8.8500","0.25","2"
"INE403Q07GU6","KOSAMATTAM FINANCE LIMITED OP III 9 NCD 19FB29 FVRS1000","97.3000","97.3000","14.1188","16.5000","0.25","1"
"INE530B08193","IIFL FINANCE LIMITED SR D33 OP B 9.25 NCD 24JU32 FVRS1LAC","100.0000","100.0000","9.6459","9.6459","0.25","1"
"INE774D08MP4","MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED SRIVCATIII","103.5188","103.5188","8.0200","8.0200","0.25","1"
"INE413U07459","IIFL SAMASTA FINANCE LIMITED SR A 9.20 NCD 12FB28 FVRS10000","96.9000","96.9000","11.8707","16.5000","0.25","1"
"INE501X07570","AYE FINANCE LIMITED 10.50 NCD 30AP27 FVRS1LAC","99.7500","99.7500","11.3087","11.3087","0.25","1"
"INE413U08093","IIFL SAMASTA FINANCE LIMITED 11 LOA 18MY30 FVRS1LAC","100.0000","100.0000","10.9805","10.9805","0.24","1"
"INE1C3207065","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 D 9.35 NCD 31DC30 FVRS1LAC","102.7517","102.7517","8.8500","8.8500","0.20","1"
"INE1C3207057","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 A 9.35 NCD 31DC27 FVRS1LAC","100.9431","100.9431","8.8500","8.8500","0.20","1"
"INE0M2307347","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV G 9.15 BD 29NV32 FVRS1LAC","100.5850","101.1700","9.3281","9.1962","0.20","2"
"INE0M2307354","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV D 9.15 BD 30NV29 FVRS1LAC","101.3002","101.4600","8.9600","8.9000","0.20","2"
"INE583D07620","UGRO CAPITAL LIMITED 9.50 NCD 27FB27 FVRS10000","99.6100","99.6100","12.2870","16.5000","0.20","1"
"INE01HV07627","HARI AND COMPANY INVESTMENTS MADRAS PRIVATE LIMITED SR B 9.15 NCD 04NV27 FVRS10000","100.3600","100.3600","16.5000","16.5000","0.16","1"
"INE549K08574","MUTHOOT FINCORP LIMITED TR B 10.26 NCD 18JL31 FVRS10000","99.9781","99.9291","10.7401","10.7700","0.15","2"
"INE109C07139","ARMAN FINANCIAL SERVICES LIMITED 11.35 NCD 29JL28 FVRS10000","99.8700","99.8700","13.1432","16.5000","0.15","1"
"INE530L07228","NIDO HOME FINANCE LIMITED SR-VI 10 LOA 19JL26 FVRS1000","107.4900","107.4900","13.1082","16.5000","0.11","1"
"INE0BUS07BW7","INDEL MONEY  LIMITED 11.25 NCD 23AP27 FVRS1LAC","100.7245","100.7245","11.0176","11.0000","0.10","1"
"INE549K08541","MUTHOOT FINCORP LIMITED 10.40 NCD 22AG33 FVRS10000","100.2445","100.2445","10.8500","10.8500","0.10","1"
"INE658F08318","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR IV STRPPS G 9.42 BD 30DC34 FVRS1LAC","100.8064","100.8064","9.6000","9.6000","0.10","1"
"INE0BUS07CK0","INDEL MONEY  LIMITED 10 NCD 17AP28 FVRS10000","98.1600","98.1600","11.8152","16.5000","0.10","1"
"INE605Y07205","AUXILO FINSERVE PRIVATE LIMITED SR I 9.70 NCD 13JU28 FVRS1LAC","98.9096","98.9096","10.2500","10.2500","0.07","1"
"INE321N07442","INCRED FINANCIAL SERVICES LIMITED 9.50 NCD 18SP26 FVRS1LAC","101.4500","101.4500","10.9920","16.5000","0.07","1"
"INE090W07709","LENDINGKART FINANCE LIMITED TR 1 13.25 NCD 15SP26 FVRS66800","102.0700","102.0700","12.3333","16.5000","0.07","1"
"INE348L07316","MAS FINANCIAL SERVICES LIMITED SR B 9.25 NCD 16MY27 FVRS1LAC","100.2535","100.2535","9.3000","9.3000","0.06","1"
"INE101Q07BW3","MUTHOOT MCRED LIMITED SR III TR XVI 9.65 NCD 18SP28 FVRS10000","98.3171","98.3171","11.0436","10.9500","0.05","1"
"INE605Y07163","AUXILO FINSERVE PRIVATE LIMITED SR AUX20242502 9.65 NCD 19JL27 FVRS1LAC","99.7363","99.7363","10.2500","10.2500","0.05","1"
"INE403Q07FN3","KOSAMATTAM FINANCE LIMITED 10 NCD 12MR27 FVRS10000","99.9300","99.9300","15.7104","16.5000","0.05","1"
"INE180C07221","CAPRI GLOBAL CAPITAL LIMITED SR II 8.9 NCD 13AP27 FVRS1000","104.7600","104.7600","15.0666","16.5000","0.05","1"
"INE583D07638","UGRO CAPITAL LIMITED 9.99 NCD 16JU29 FVRS10000","100.7500","100.7500","10.5136","10.1500","0.05","1"
"INE192U07368","KOGTA FINANCIAL (INDIA) LIMITED 9.65 NCD 10MR28 FVRS1LAC","99.2956","99.2956","10.0500","10.0500","0.04","1"
"INE321N07525","INCRED FINANCIAL SERVICES LIMITED 9.60 NCD 16AG27 FVRS1LAC","100.5099","100.5099","9.5000","9.5000","0.04","1"
"INE423A07450","ADANI ENTERPRISES LIMITED SR I 8.95 NCD 17JL27 FVRS1000","107.7100","107.7100","13.7034","16.5000","0.03","1"
